Seq.,sentence,similarity_to_bench,page,cluster
0," Acquisition RebAlAncing:  
 Recommendations for Smart, Efficient 
 & Effective Defense Procurement    
 To:  Members of the House and Senate Armed Services Committees
  
 Dear Chairman Levin, Ranking Member Inhofe, Chairman McKeon, Vice Chairman Thornberry and Ranking Member Smith,
 Thank you for the opportunity to provide the Aerospace Industry Association’s (AIA) perspective on needed improvements to the Defense Acquisition 
 System. ",0.9199528072660292,1,0
1," Founded in 1919 with roots that go back to the Wright Brothers, AIA is the nation’s pre-eminent association of manufacturers and suppli-
 ers of civil, military and business aircraft, helicopters, unmanned aircraft systems, space systems, aircraft engines, missiles, and related components, ",0.5650294167998334,2,0
2,"
 equipment, services and information technology. ",0.5315109029399468,2,2
3," We are proud to advocate on behalf of an industry that directly employs more than one million 
 workers and supports another 2.53 million jobs in all 50 states; total aerospace sales were $273.1 billion in 2013.",0.5554757935016713,2,0
4,"
 ",0.0,2,-1
5,"The current acquisition system is archaic, difficult to navigate and costly to operate. ",0.7042884208834859,2,0
6,"Your leadership in focusing Congress’ attention on the need to 
 rebalance how DOD conducts the business of modernizing and equipping our forces has come at a critical juncture. ",1.1627778008898408,2,0
7," The time is right to institute 
 common sense solutions and long overdue reforms. ",0.799793321820103,2,0
8," 
 To more efficiently and economically support our military, the aerospace and defense industry has been leading initiatives to streamline internal prac-
 tices and reduce costs. ",0.8783235704428608,2,6
9," Without acquisition reform, continued progress solely through industry-initiated efficiencies will become more challenging to 
 realize in these tight fiscal times. ",0.7906465009660842,2,0
10," Optimizing the use of appropriated dollars for military systems – getting the best value from every resource – is a 
 fundamental commitment that requires both government and industry dedication. ",1.0419123687296812,2,6
11,"
 In addition to reducing costs, acquisition reform is vital to the long-term sustainment of a strong and viable defense industrial base. ",1.0381672251303213,2,6
12," The way we 
 produce systems and conduct business has changed. ",0.9140052521353841,2,0
13," Today’s major weapon systems are highly integrated assemblies of hardware, software and 
 intellectual property, engineered and built by hundreds of companies encompassing the military unique and the commercial supplier base. ",0.7078983224666741,2,0
14," The very 
 nature of the acquisition system needs to adapt to today’s business environment. ",0.6084013071390726,2,0
15," The following principles underpin our perspective on acquisi-
 tion rebalancing: optimizing the use of scarce government resources; allowing industry the ability to execute more quickly and more efficiently; and 
 providing greater opportunity for industry to deliver the technologies, products and services our nation demands. ",1.0809021402507553,2,6
16," Rebalancing acquisition to reflect 
 today’s realities and positioning for future success are critical to our nation.",0.6452348879400336,2,0
17,"
 Four broad areas are first and foremost on our list of issues to tackle:  audits; commercial items; protection of intellectual property; and industry en-
 gagement in the rule making process. ",0.801791008137861,2,2
18," 
 Audits
 Over the past decade, the number of regulations has grown substantially. ",0.4768645578272891,2,2
19," With these new regulations come requirements for a more exhaustive 
 compliance regime that seeks to mitigate all risk of misconduct and malfeasance. ",0.6038864776185253,2,8
20," This compliance regime is costly to both industry and government, 
 yet its benefits are difficult to quantify. ",0.7598411812319611,2,6
21," Audits have become more complex, requiring more government and industry personnel to complete them. ",0.8744132944699273,2,5
22," 
 This complexity often adds time to completing the audits, delaying contract awards, impacting delivery schedules and key milestones as well as 
 contract closeouts. ",0.8230570874433855,2,5
23," 
 The war fighter feels these delays when equipment, services and parts essential to operations and readiness aren’t there when needed. ",0.7186640270256094,2,0
24," Industry also 
 feels the effect of delay. ",0.39863327409413135,2,0
25," The uncertainty makes seeking financing more difficult for smaller firms who need predictable revenue forecasts to support 
 their operations and financial stability. ",0.7778177068965477,2,6
26," The large backlog in incurred cost audits and contract closeouts affects payment, delaying critical revenue for 
 firms without sufficient internal capital to wait it out. ",0.724157021298646,2,3
