Seq.,sentence,similarity_to_bench,page,cluster
0," This document and trademark(s) contained herein are protected by law as indicated 
 in a notice appearing later in this work. ",0.7560109818824855,1,1
1," This electronic representation of RAND 
 intellectual property is provided for non-commercial use only. ",0.6646642194794804,1,1
2," Unauthorized 
 posting of RAND PDFs to a non-RAND Web site is prohibited. ",0.3874247640087533,1,2
3," RAND PDFs are 
 protected under copyright law. ",0.6270954153003534,1,2
4," Permission is required from RAND to reproduce, 
 or reuse in another form, any of our research documents for commercial use. ",0.7968555377026949,1,1
5,"For 
 information on reprint and linking permissions, please see  RAND Permissions .",0.38566646513019187,1,2
6,"
 Limited Electronic Distribution Rights
 Visit RAND at  www.rand.org
 Explore the  RAND National Defense
  
  
 Research Institute
 View  document details
 For More Information
 This PDF document was made available 
 from  www.rand.org  as a public service of 
 the RAND Corporation.",0.8655275783887495,1,2
7,"
 6
 Jump down to document
 THE ARTS
 CHILD POLICY
 CIVIL JUSTICE
 EDUCATION
 ENERGY AND ENVIRONMENT
 HEALTH AND HEALTH CARE
 INTERNATIONAL AFFAIRS
 NATIONAL SECURITY
 POPULATION AND AGING
 PUBLIC SAFETY
 SCIENCE AND TECHNOLOGY
 SUBSTANCE ABUSE
 TERRORISM AND 
 HOMELAND SECURITY
 TRANSPORTATION AND
 INFRASTRUCTURE
 WORKFORCE AND WORKPLACE
 ",0.7375350702676142,1,2
8,"The RAND Corporation is a nonprofit 
 institution that helps improve policy and 
 decisionmaking through research and 
 analysis.",0.9034251449026979,1,5
9,"
 Purchase this document
 Browse Books & Publications
 Make a charitable contribution
 Support RAND
 ",0.6945310220923124,1,1
10,This product is part of the RAND Corporation monograph series. ,0.40633262093360395,2,5
11,"
 RAND monographs present major research findings that address the 
 challenges facing the public and private sectors. ",0.7537807614913318,2,5
12," All RAND mono-
 graphs undergo rigorous peer review to ensure high standards for 
 research quality and objectivity.",0.8109988808284249,2,0
13,"
 From  Marginal 
 Adjustments 
 to  Meaningful 
 Change
 Rethinking Weapon 
 System Acquisition
 NATIONAL DEFENSE RESEARCH INSTITUTE
 John Birkler, Mark V. Arena, Irv Blickstein,  
 Jeffrey A. Drezner, Susan M. Gates, Meilinda Huang,  
 Robert Murphy, Charles Nemfakos, Susan K. Woodward
 Prepared for the Office of the Secretary of Defense
 Approved for public release; distribution unlimited
 The RAND Corporation is a nonprofit institution that helps improve 
 policy and decisionmaking through research and analysis. ",0.9615341513719184,2,2
14,"RAND’s 
 publications do not necessarily reflect the opinions of its research clients 
 and sponsors.",0.5175738664343673,4,1
15,"
 R ®  is a registered trademark.",0.21806728388929902,4,2
16,"
 © Copyright 2010 RAND Corporation
 Permission is given to duplicate this document for personal use only, as 
 long as it is unaltered and complete. ",0.7555639113257674,4,1
