Seq.,sentence,similarity_to_bench,page,cluster
0," A Brief History
 of the U.S. Army
 in World War II
 CENTER OF MILITARY HISTORY
 UNITED STATES ARMY
 WASHINGTON, D.C., 1992
 Introduction
 World War II was the largest and most violent armed conﬂict in
 the history of mankind. ",0.5156540224146153,1,4
1,"However, the half century that now separates
 us from that conﬂict has exacted its toll on our collective knowledge.",0.3590911099076266,2,11
2,"
 While World War II continues to absorb the interest of military schol-
 ars and historians, as well as its veterans, a generation of Americans
 has grown to maturity largely unaware of the political, social, and mil-
 itary implications of a war that, more than any other, united us as a
 people with a common purpose. ",0.6188811754949987,2,5
3,"
 Highly relevant today, World War II has much to teach us, not only
 about the profession of arms, but also about military preparedness,
 global strategy, and combined operations in the coalition war against
 fascism. ",0.6267954922480534,2,4
4,"During the next several years, the U.S. Army will participate
 in the nation’s 50th anniversary commemoration of World War II. ",0.4596479006522853,2,4
5,"The
 commemoration will include the publication of various materials to
 help educate Americans about that war. ",0.7977832956571735,2,11
6,"The works produced will pro-
 vide great opportunities to learn about and renew pride in an Army
 that fought so magnificently in what has been called “the mighty
 endeavor.” ",0.4746970273556751,2,11
7,"
 A Brief History of the U.S. Army in World War II  highlights the
 major ground force campaigns during the six years of the war, offers
 suggestions for further reading, and provides Americans an opportuni-
 ty to learn about the Army’s role in World War II. ",0.6113432844291117,2,4
8,"This brochure was
 prepared at the U.S. Army Center of Military History by Wayne M.
 Dzwonchyk (Europe) and John Ray Skates (Pacific). ",0.6038118498751359,2,4
9,"I hope this
 absorbing account of that period will enhance your appreciation of
 American achievements during World War II. ",0.5232679234483592,2,0
10,"
 M. P. W. Stone 
 Secretary of the Army 
 Contents
 The War in Europe   . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.3764866652739936,2,4
11,"
 3
 The Outbreak of War  . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.2624981390728135,3,9
12,"
 4
 The United States Enters the War . . . . . . . . . . . . . . . . . .",0.34722556488279693,3,5
13,"
 8
 The North African Campaign . . . . . . . . . . . . . . . . . . . . .",0.4001464406379574,3,3
14,"
 10
 Sicily and Italy  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.25487577212386464,3,3
15,"
 15
 The Cross-Channel Attack  . . . . . . . . . . . . . . . . . . . . . . .",0.24673475872510772,3,0
16,"
 17
 Battles of Attrition  . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.22565782677434795,3,0
17,"
 21
 The Battle of the Bulge . . . . . . . . . . . . . . . . . . . . . . . . . .",0.20374583344764596,3,4
18,"
 22
 The Final Offensive  . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.3403239660344836,3,0
19,"
 23
 The Paciﬁc War   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.22070038534778932,3,9
20,"
 29
 Japan on the Offensive  . . . . . . . . . . . . . . . . . . . . . . . . . .",0.25162732529266824,3,8
21,"
 31
 The Tide Turns  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.1911946162340536,3,11
22,"
 34
 Twin Drives to American Victory . . . . . . . . . . . . . . . . . .",0.3032965370612015,3,5
23,"
 39
 Aftermath  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.16299802746524658,3,0
24,"
 43
 Maps
 Allied Operations in World War II, 1942–1945  . . . . . . . . . .",0.35173245973307304,3,4
25,"
 12
 The Paciﬁc and Adjacent Theaters, 1942–1945  . . . . . . . . . .",0.24940923368166845,3,0
26,"
 ",0.0,3,-1
27,"36
 Further Readings   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.13788205718029262,3,11
28,"
 45
 “OMAHA Beach” by Gary Sheahan. ",0.2235674012831918,3,11
29,"This was the one sector of the
 Normandy coast where the German defenses had begun to reach the
 expectations of Field Marshal Rommel, and here the Allied invasion of
 France faced its greatest crisis. ",0.4564772325339807,4,10
30,"(Army Art Collection) 
 ",0.2964570353632376,4,11
31,"The War in Europe 
 The War in Europe 
 World War I left unresolved the question of who would dominate
 Europe. ",0.3987123692743558,5,4
32,"The tremendous dislocations caused by the war laid the
 groundwork for the collapse of democratic institutions there and set
 the stage for a second German attempt at conquest. ",0.5923666562801373,6,12
33,"A worldwide de-
 pression that began in 1929 destroyed the fragile democratic regime 
 in Germany. ",0.34777973435485937,6,5
34,"In 1933 Adolf Hitler led to power the National Social-
 ist German Workers’ (Nazi) Party, a mass movement that was viru-
 lently nationalistic, antidemocratic, and anti-Semitic. ",0.4484782750062555,6,3
35,"He ended par-
 liamentary government, assumed dictatorial powers, and proclaimed
 the Third Reich. ",0.34292163003772175,6,11
36,"The Nazi government increased the strength of the
 German armed forces and sought to overturn the Versailles Treaty, 
 to recover German territory lost at the peace settlement, and to re-
 turn to the so-called Fatherland German-speaking minorities within
 the borders of surrounding countries. ",0.5735202750831153,6,5
37,"
 The ultimate goal of Hitler’s policy was to secure “living space” for
 the German “master race” in eastern Europe. ",0.4856605155666581,6,3
38,"A gambler by instinct,
 Hitler relied on diplomatic bluff and military innovation to overcome
 Germany’s weaknesses. ",0.4186871481518069,6,5
39,"He played skillfully on the divisions among
 the European powers to gain many of his aims without war. ",0.34329378373887093,6,5
40,"With the
 Italian Fascist dictator Benito Mussolini he announced a Rome-
 Berlin alliance (the Axis) in 1935. ",0.3447722797402633,6,3
41,"Meanwhile, in the Far East, the
 Japanese—the only Asian industrial power—coveted the natural re-
 sources of China and Southeast Asia, but found their expansion
 blocked by European colonial powers or by the United States. ",0.5239269236473301,6,5
42,"Hav-
 ing seized Manchuria in 1931, they began a war against China in 1937.",0.390523605222725,6,9
43,"
 The League of Nations failed to counter effectively Japanese aggres-
 sion in Manchuria and an Italian invasion of Ethiopia. ",0.4239640036795387,6,8
44,"Soon Ger-
 many, Italy, and Japan became allies, facing Western democratic gov-
 ernments that wanted to avoid another war and the Soviet Union
 whose Communist government was widely distrusted. ",0.6093663429925807,6,9
45,"
 The people of the United States, having rejected the Versailles
 Treaty and the Covenant of the League of Nations after World War 
 I, remained largely indifferent to most international concerns. ",0.516875865615798,6,5
46,"They
 firmly discounted the likelihood of American involvement in an-
 4
 other major war, except perhaps with Japan. ",0.5671085697953343,6,5
47,"Isolationist strength in
 Congress led to the passage of the Neutrality Act of 1937, making it
 unlawful for the United States to trade with belligerents. ",0.7099022533082863,7,11
48,"American
 policy aimed at continental defense and designated the Navy as the
 first line of such defense. ",0.48031554824198436,7,0
