Seq.,sentence,similarity_to_bench,page,cluster
0," 1 
  
 Implementing Acquisition Reform:   
 The Decker-Wagner Army Acquisition Review 
  
 The Army Acquisition Review (AAR) panel, co-chaired by the Honorable Gilbert F. Decker and General (R) 
 Louis C. Wagner, Jr,  submitted a report to the Secretary of the Army, entitled “Army Strong: Equipped, 
 Trained and Ready, Final Report of the 2010 Army Acquisition Review” in January 2011 . ",0.9353100377627518,1,4
1," 
  
 The distinguished experts on the panel developed a series of recommendations which will improve the 
 Army’s acquisition processes. ",1.0239036583000818,1,14
2," The AAR provides a roadmap for systemic improvements to the way we 
 design, develop, test, buy and field weapons and equipment used by Soldiers. ",1.0054440705928567,1,12
3," This summary provides a 
 brief overview of the recommendations presented in the report and of the Army’s plan to implement 
 them. ",1.070744465627239,1,0
4,"  
  
 Introduction  
  
 A deliberate acquisition process requires critical contributions from a diverse body of Army and DoD 
 organizations, each with different areas of expertise, ranging from requirements development, ",0.8685544618678834,1,14
5,"
 engineering, program management and testing to resourcing. ",0.9606244514415634,1,13
6," As expressed in the AAR, the key to 
 improvement lies in our ability to effectively harmonize these inputs over the life of an acquisition 
 program to deliver new capabilities on a timely and cost-effective basis. ",0.9761774736744184,1,10
7,"  
  
 The Army fully supports the overall blueprint for acquisition reform articulated in the AAR and has 
 committed to the implementation of all but 13 of the 76 AAR recommendations. ",0.9285611353221015,1,11
8," Of the 63 
 recommendations the Army intends to adopt all are assigned to Army entities to develop plans to 
 implement. ",1.054286897751743,1,11
9,"Six of the recommendations require action by the Army in partnership with the Office of the 
 Secretary of Defense (OSD) and/or other entities. ",0.9870141149702031,1,4
10,"  
  
 The benefits of these improvements to our processes and procedures may not be felt immediately. ",0.7331569518051378,1,9
11," 
 Some will go into effect immediately through as simple as an internal policy change while others will 
 require extensive coordination and support. ",0.9748491460288943,1,9
12,"These include changes that require DoD-wide support and 
 assistance from Congress. ",1.0590252300405696,1,11
13," In addition, some of the AAR recommendations call for process 
 improvements with discernible benefits over the full lifecycle of acquisition programs, especially in the 
 case of future ACAT-1 programs. ",1.0193863709029078,1,10
14,"  The Army has recently initiated a review of the Institutional Army that 
 will yield efficiencies and savings over time. ",0.6903843353228328,1,6
15," The implementation of some AAR recommendations may 
 be impacted additionally by the results of this ongoing analysis. ",0.9503818334282369,1,16
16,"    
  
  
  Army Accepted   Recommendations   
  
  
 1. ",0.7927503830004782,1,2
17,"
 0: “Charter a Task Force Co-Chaired by the USA and VCSA to ensure the 
  
 implementation of these recommendations” 
  
 ANALYSIS: 
  
 2 
  
 The AAR recommendations involve efforts by multiple Army commands and organizations. ",1.1002966565749575,1,14
18,"The Army’s 
 implementation efforts will be led by the Deputy Undersecretary of the Army with assistance from the 
 Acting Assistant Secretary of the Army (Acquisition, Logistics & Technology). ",0.7622180488053165,2,4
19,"
  
 ORGANIZATIONS/COMMANDS INVOLVED: 
 Office of the Deputy Undersecretary of the Army,  
  
  
  
  
  
  
 ASA(ALT)  
  
 ESTIMATED TIMELINE:  
  
  
 1 year to complete oversight of all AAR   
  
  
  
  
  
  
  
 recommendations 
  
  
  
 2. ",0.9800849951491483,2,4
20,"
  1.1:   “A TRADOC-led Integrated Capabilities Development Team (ICDT) with personnel from 
 the Army Staff and Secretariat, AMC, ATEC and other Army Commands should  collaboratively 
 develop requirements documents for AROC approval” 
  
 ANALYSIS: ",1.0333774424019673,2,0
21,"
  
  This recommendation calls for a more “collaborative and timely” requirements process that involves 
 the acquisition, resourcing, and testing communities working together throughout the creation of 
 requirements documents. ",1.0507848509088213,2,16
22," The goal is to mitigate delay and avoid the current sequential “heel-to-toe” 
 process and replace it with a concurrent process. ",0.8458723084575784,2,9
23," This approach will allow technical and resource-
 informed trade-offs to begin occurring at the earliest stage of the acquisition cycle – long before they 
 present the risk of cost escalation or delay in specific programs. ",0.909806038145955,2,10
24,"  
  
 ORGANIZATIONS/COMMANDS INVOLVED: 
 G-3/5/7 
 TRADOC; G-8 
  
 ESTIMATED TIMELINE:  
  
  
 3 months to establish ICDTs; implementation may be  
  
  
  
  
  
  
 impacted by the pending Army Capability Development  
  
  
  
  
  
  
 Study 
  
 3. ",1.0041750283220994,2,7
25,"
 1.3: “Reduce the current practice of serial (saw-tooth) TRADOC-Army-Joint staffing and 
 approval of requirements, acquisition and testing documents.” ",0.914508324482572,2,7
26,"
  
 ANALYSIS: 
  
 The goal again is to mitigate delay, avoid the current sequential “heel-to-toe” process and replace it with 
 a concurrent process. ",0.9589114681232919,2,9
27," TRADOC has established new standards for the time required to staff 
 requirements documents and is instituting changes. ",1.2188241739585135,2,13
28,"
  
 ORGANIZATIONS/COMMANDS INVOLVED: 
 TRADOC 
  G-3/5/7; G-8 
  
 ESTIMATED TIMELINE:  
  
  
 6 months; implementation may be impacted by the  
  
  
  
  
  
  
 pending Army Capability Development Study 
  
 4. ",0.8967559825643165,2,7
29,"
 1.4:  “CSA recommend JCS terminate the current JCIDS process or require collaboration by J8 
 and appropriate Joint Staff with the Army during the requirements development process” 
  
 3 
  
 ANALYSIS: 
  
 The serial nature of the process by which the Army develops requirements is compounded by the 
 separate Joint Capabilities Integration Development System (JCIDS) process required for large ACAT-1 
 programs. ",1.2513140298331256,2,13
30," JCIDS provides oversight by OSD and the Joint Chiefs of Staff (JCS) but can add 15-22 months 
 to the process. ",0.91763856630796,3,0
31," While OSD and JCS input in certain requirements may be required, the requirements 
 process should facilitate collaborative participation by all stakeholders early in the process. ",0.7778936941734751,3,16
32,"  
  
 The JCS is currently examining various reforms to the JCIDS process. ",0.7159168355814169,3,11
33,"
  
 ORGANIZATIONS/COMMANDS INVOLVED: 
   G-3/5/7 
  
  
  
  
  
  
   JCS (J-8); OSD; G-8 
  
 ESTIMATED TIMELINE: 
 3 months to develop proposal for OSD; implementation 
 may be  impacted by the pending Army Capability 
 Development Study. ",1.0059531558561108,3,7
34,"
  
 5. ",0.0,3,-1
35,"
 1.5: “Institutionalize rapid acquisition in policy guidelines and amend AR 71-9 to support rapid 
 acquisition in response to ONS from COCOMs during quiescent periods” 
  
 ANALYSIS: 
  
 The organizations established to facilitate rapid acquisition efforts should be reviewed and duplicative ",1.026430129237393,3,16
36,"
 functions should be consolidated within the appropriate Army organizations however, the processes and 
 skills must be preserved and institutionalized to provide COCOMs responsive support where required. ",1.0451895389513186,3,14
37,"  
  
 ORGANIZATIONS/COMMANDS INVOLVED: 
 G-3/5/7  
 ASA(ALT) 
  
 ESTIMATED TIMELINE:  
  
  
 3 months",0.40354703971405764,3,5
38,"; implementation may be impacted by the  
  
  
  
  
  
  
 pending Army Capability Development Study 
  
 6. ",0.9183320175336568,3,7
39,"
 1.7: “Synchronize TRADOC and Army requirements approval, MDD, MS A and MS B decisions 
 to align with the DA POM and budget development schedules” 
  
 ANALYSIS: 
  
 The Army should synchronize its requirements approval process to inform the way the Army makes 
 established POM and budget decisions. ",1.256255199849954,3,13
40," TRADOC initiated a document processing cycle last year in an 
 effort to address this issue. ",0.8321891691899367,3,7
41," TRADOC’s ongoing efforts will be synchronized with the ongoing 
 Institutional Army Review. ",0.6388005666415012,3,0
42,"
  
 ORGANIZATIONS/COMMANDS INVOLVED: 
   ASA(ALT) ",0.0,3,-1
43," 
   TRADOC 
  
 ESTIMATED TIMELINE:  
  
  
 3 months; implementation may be impacted by the  
  
  
  
  
  
  
 pending Army Capability Development Study 
  
 4 
  
 7. ",0.8967559825643165,3,7
44,"
 2.1: “Limit the number of KPPs and KSAs”   
  
 ANALYSIS: 
  
 Development of affordable and achievable acquisition programs requires the early identification trade 
 space in systems design. ",1.1325658756736725,4,10
45," The number of Key Performance Parameters (KPP) and Key System Attributes 
 (KSA) in requirements documents has a significant impact on cost and schedule. ",1.0987791343946283,4,10
46," The Army must strike a 
 balance that achieves maximum flexibility, best value and achievable solutions. ",0.7247538882725595,4,9
47,"     
  
  ORGANIZATIONS/COMMANDS INVOLVED: 
 TRADOC  
  
 ESTIMATED TIMELINE:  
  
  
 3 months; implementation may be impacted by the  
  
  
  
  
  
  
 pending Army Capability Development Study 
  
 8. ",0.8967559825643165,4,7
48,"
 2.2: “Establish threshold and objective values for KSAs to enable tradeoffs” 
  
 ANALYSIS: 
  
 In conjunction with recommendation 2.1, industry must have flexibility in trading KSAs in order to drive 
 designs to cost-effective proposals that can be achieved on realistic timetables. ",1.119618146672638,4,10
49," In developing RFPs for 
 future systems, the Army must carefully tailor KSAs that support the acquisition strategy by establishing 
 threshold and objective values for each. ",0.9259999526896782,4,10
50,"  
  
 ORGANIZATIONS/COMMANDS INVOLVED: 
 TRADOC 
  
 ESTIMATED TIMELINE:  
  
  
 3 months; implementation may be impacted by the  
  
  
  
  
  
  
 pending Army Capability Development Study 
  
 9. ",0.8967559825643165,4,7
51,"
 2.3: “Obtain initial system cost parameters from G-8 and DASA(CE) prior to MDD” 
  
 ANALYSIS: 
  
 An informed cost position is a critical to better inform the acquisition strategy and refine Army 
 requirements. ",1.104420977737321,4,13
52, Materiel Development Decisions must consider affordability constraints. ,0.7943600192596972,4,10
53," Independent 
 assessments by G-8 and DASA(CE) will inform the Army as to the affordability of related systems within 
 modernization efforts for ACAT I ( or  ACAT I/II)  programs. ",0.8512338851874737,4,13
54," 
  
 ORGANIZATIONS/COMMANDS INVOLVED: 
 ASA(ALT) 
 DASA (Cost and Economics), G-8 
  
  
  
  
  
  
  
 ESTIMATED TIMELINE:  
  
  
 3months; implementation may be impacted by the  
  
  
  
  
  
  
 pending Optimization of Materiel Development and  
  
  
  
  
  
  
 Sustainment Study and the Army Capability  
  
  
  
  
  
  
  
 Development Study 
  
 10. ",1.2188453969704185,4,7
