Seq.,sentence,similarity_to_bench,page,cluster
0,"  
  
 D O D   D IRECTIVE  5000.01 
 T HE  D EFENSE  A CQUISITION  S YSTEM  
  
  
 Originating Component:  
 Office of the Under Secretary of Defense for Acquisition and Sustainment 
  
 Effective:  
 September 9, 2020 
 Change 1 Effective: 
 July 28, 2022 
  
 Releasability:  
 Cleared for public release. ",0.6347480669879596,1,2
1," Available on the Directives Division Website 
 at https://www.esd.whs.mil/DD/. 
  
 Reissues and Cancels:  
 DoD Directive 5000.01, “The Defense Acquisition System,”  
 May 12, 2003 
  
 Approved by:  
 David L. Norquist, Deputy Secretary of Defense 
 Change 1 Approved by:  
 Kathleen H. Hicks, Deputy Secretary of Defense ",0.8441532056534324,1,6
2,"
  
  
 Purpose:  Under the authority vested in the Secretary of Defense by Section 113 of Title 10, United 
 States Code (U.S.C.)",0.6971892527407786,1,6
3,", this issuance establishes policy and assigns responsibilities for managing all 
 acquisition programs. ",0.8102775509097913,1,13
4," 
  
 DoDD 5000.01, September 9, 2020 
 Change 1, July 28, 2022 
 T ABLE OF  C ONTENTS  
 2 
 T ABLE OF  C ONTENTS  
  
 S ECTION  1:    G ENERAL  I SSUANCE ",0.42877333702012843,1,8
5," I NFORMATION  .............................................................................. 4  
 1.1. ",0.0,2,-1
6, Applicability. ,0.2303860778281935,2,3
7,".................................................................................................................... 4  
 1.2. ",0.0,2,-1
8, Policy. ,0.6170340098323465,2,6
9,"............................................................................................................................... 4  
 a.  Deliver Performance at the Speed of Relevance. ",0.6637592077023833,2,12
10,........................................................... ,0.0,2,-1
11,"4  
 b.  Conduct System of Systems (SoS) Analysis. ",0.9320197107540222,2,11
12,................................................................ ,0.0,2,-1
13,"4  
 c.  Develop a Culture of Innovation. ",0.7097913921875093,2,4
14,................................................................................... ,0.0,2,-1
15,"5  
 d.  Develop and Deliver Secure Capabilities. ",0.822153422089917,2,15
16,..................................................................... ,0.0,2,-1
17,"5  
 e.  Emphasize Competition. ",0.3490189471608847,2,4
18,"................................................................................................ 5  
 f.  Be Responsive. ............................................................................................................... ",0.7596577929323739,2,12
19,"5  
 g.  Employ a Disciplined Approach. ",0.37568075517098637,2,7
20,................................................................................... ,0.0,2,-1
21,"5  
 h.  Manage Efficiently and Effectively. ",0.5162155508995057,2,15
22,.............................................................................. ,0.0,2,-1
23,"6  
 i.  Focus on Affordability. ",0.7135557081083401,2,16
24,................................................................................................... ,0.0,2,-1
25,"6  
 j.  Emphasize Environment, Safety, and Occupational Health (ESOH) Risks and 
 Requirements Management. ",0.6482766594339122,2,14
26,"......................................................................................... 6  
 k.  Employ Performance Based-Acquisition Strategies. ",0.838694004520768,2,16
27,..................................................... ,0.0,2,-1
28,"7  
 l.  Plan for Product Support................................................................................................. 7  
 m.  Implement Effective Life-Cycle Management. ",1.082113821962317,2,16
29,............................................................ ,0.0,2,-1
30,"7  
 n.  Implement Reliability and Maintainability by Design. ",0.6829114538303211,2,14
31,".................................................. 7  
 o.  Conduct Integrated Test and Evaluation. ",0.7752104456819139,2,14
32,....................................................................... ,0.0,2,-1
33,"7  
 p.  Apply Human Systems Integration. ",0.5443832691242987,2,11
34,............................................................................... ,0.0,2,-1
35,"8  
 q.  Deploy Interoperable Systems. ",0.434721430746177,2,11
36,...................................................................................... ,0.0,2,-1
37,"8  
 r.  Plan for Corrosion Prevention and Mitigation. ",0.5836121703303715,2,14
38,".............................................................. 8  
 s.  Employ Artificial Intelligence, Machine Learning, Deep Learning, and Other Related 
 Capabilities throughout Execution of the Acquisition Process..................................... 8  
 t.  Plan for Coalition Partners. ",0.7993075495342676,2,11
39,"............................................................................................. 8  
 u.  Maintain a Professional Workforce. ",0.7102080900061248,2,1
40,.............................................................................. ,0.0,2,-1
41,"8  
 v.  Comply with Statute and International Agreements. ",0.4714321384758797,2,3
42,..................................................... ,0.0,2,-1
43,"9  
 w.  Maintain Data Transparency. ",0.6885929615901057,2,12
44,........................................................................................ ,0.0,2,-1
45,"9  
 x.  Manage Records Effectively. ",0.5314887649148979,2,15
46,"......................................................................................... 9  
 y.  Employ a Collaborative Process. ",0.4262956201232337,2,7
47,"................................................................................... 9  
 z.  Conduct Industrial Base Assessments. ",0.8119560215140701,2,14
48,"........................................................................... 9  
 1.3.  Summary of Change 1. ",0.7020926609440908,2,3
49,..................................................................................................... ,0.0,2,-1
50,"9  
 S ECTION  2:    R ESPONSIBILITIES  ....................................................................................................... 11  
 2.1. ",0.19848098922239124,2,3
51, Under Secretary of Defense for Acquisition and Sustainment (USD(A&S)). ,0.7476165022148806,2,2
52,................ ,0.0,2,-1
53,"11  
 2.2. ",0.0,2,-1
54, Under Secretary of Defense for Research and Engineering (USD(R&E)). ,0.49639523774307087,2,6
55,.................... ,0.0,2,-1
56,"11  
 2.3. ",0.0,2,-1
57, Under Secretary of Defense for Intelligence and Security (USD(I&S)). ,0.36468185652850205,2,6
58,....................... ,0.0,2,-1
59,"12  
 2.4. ",0.0,2,-1
60, Under Secretary of Defense for Personnel and Readiness. ,0.4979036209128804,2,2
61,............................................. ,0.0,2,-1
62,"12  
 2.5. ",0.0,2,-1
63," Under Secretary of Defense (Comptroller)/Chief Financial Officer, Department of 
 Defense. ",0.4578505872974501,2,6
64,"............................................................................................................................ 12  
 2.6. ",0.0,2,-1
65, DoD Chief Information Officer. ,0.4474179048780632,2,6
66,"..................................................................................... 12  
 2.7. ",0.0,2,-1
67, Director of Operational Test and Evaluation (DOT&E). ,0.4921526889789354,2,6
68,"................................................ 13  
 2.8. ",0.0,2,-1
69, Director of Cost Assessment and Program Evaluation. ,1.0344675729278916,2,13
70,".................................................. 14  
 2.9. ",0.0,2,-1
71, DoD Component Heads. ,0.3272982366040182,2,6
72,"................................................................................................. 14  
 DoDD 5000.01, September 9, 2020 
 Change 1, July 28, 2022 
 T ABLE OF  C ONTENTS  
 3 
 2.10. ",0.4359512412543028,2,8
73, Secretaries of the Military Departments. ,0.3200124485395129,3,6
74,...................................................................... ,0.0,3,-1
75,"15  
 2.11. ",0.0,3,-1
76, CJCS. ,0.18438543563338092,3,8
77,............................................................................................................................ ,0.0,3,-1
78,"15  
 G LOSSARY  ..................................................................................................................................... 16  
 G.1. ",0.0,3,-1
79, Acronyms. ,0.18327050522548446,3,3
80,...................................................................................................................... ,0.0,3,-1
81,"16  
 G.2. ",0.0,3,-1
82, Definitions. ,0.365489345722254,3,3
83,..................................................................................................................... ,0.0,3,-1
84,"16  
 R EFERENCES  .................................................................................................................................. 17  
  
  
  
 DoDD 5000.01, September 9, 2020 
 Change 1, July 28, 2022 
 S ECTION  1:    G ENERAL  I SSUANCE ",0.41580155056580753,3,8
85, I NFORMATION ,0.0,4,-1
86," 
 4 
 S ECTION  1:    G ENERAL  I SSUANCE ",0.19848098922239124,4,3
87," I NFORMATION  
 1.1. ",0.0,4,-1
88, APPLICABILITY. ,0.2303860778281935,4,3
89,"
 This issuance applies to OSD, the Military Departments, the Office of the Chairman of the Joint 
 Chiefs of Staff (CJCS) and the Joint Staff, the Combatant Commands, the Office of Inspector 
 General of the Department of Defense, the Defense Agencies, the DoD Field Activities, and all 
 other organizational entities within the DoD (referred to collectively in this issuance as the “DoD 
 Components”). ",0.8075041631964756,4,6
90,"
 1.2. ",0.0,4,-1
91, POLICY. ,0.6170340098323465,4,6
92,"
 The objective of the Defense Acquisition System (DAS) is to support the National Defense 
 Strategy, through the development of a more lethal force based on U.S. technological innovation 
 and a culture of performance that yields a decisive and sustained U.S. military advantage. ",1.021131505185951,4,10
