Seq.,sentence,similarity_to_bench,page,cluster
0,"  
  
  
  
  
  
  
  
  
  
  
  
  
  
 DEFENSE ACQUISITIONS  
 Where Should Reform Aim 
 Next? ",0.6047009734521452,1,9
1," 
 Statement of Paul L. Francis, Managing Director 
 Acquisition and Sourcing Management 
  
 Testimony  
 Before the Committee on Armed 
 Services, House of Representatives 
 For Release on Delivery 
 ",0.6158998322664521,1,3
2,"Expected at 10:00 a.m. EDT  
 Tuesday, October 29, 2013  
 GAO-14-145T 
  
  
 United States Government Accountability Office 
  
  
  United States Government Accountability Office 
  
  
 Highlights of  GAO-14-145T , a testimony 
 before Committee on Armed Services, House 
 of Representatives. ",0.597658365903568,1,3
3,"
  
 October 29, 2013 
 DEFENSE ACQUISITIONS 
 Where Should Reform Aim Next? ",0.5807204794661062,2,9
4,"
 Why GAO Did This Study 
 DOD’s acquisition of major weapon 
 systems has been on GAO’s high risk 
 list since 1990. ",0.7351820891290268,2,6
5,"Over the past 50 years, 
 Congress and DOD have continually 
 explored ways to improve acquisition 
 outcomes, including reforms that have 
 championed sound management 
 practices, such as realistic cost 
 estimating, prototyping, and systems 
 engineering. ",1.136677689246978,2,6
6,"Too often, GAO reports 
 on the same kinds of problems today 
 that it did over 20 years ago. ",0.5336708366610281,2,10
7," 
 The topic of today’s hearing is: “25 
 Years of Acquisition Reform: Where 
 Do We Go From Here?” ",0.5766206658556451,2,9
8," To that end, 
 this testimony discusses (1) the 
 performance of DOD’s major defense 
 acquisition program portfolio; (2) the 
 management policies and processes 
 currently in place to guide those 
 acquisitions; (3) the incentives to 
 deviate from otherwise sound 
 acquisition practices; and (4) 
 suggestions to temper these 
 incentives. ",0.9208130398061787,2,6
9,"This statement draws from 
 GAO’s extensive body of work on 
 DOD’s acquisition of weapon systems. ",0.5228429666910476,2,9
10,"
  
 What GAO Found 
 The Department of Defense (DOD) must get better outcomes from its weapon 
 system investments, which in recent years have totaled around $1.5 trillion or 
 more. ",0.6999908282212042,2,9
11,"Recently, there have been some improvements, owing in part to reforms. ",0.8642935107617934,2,10
12,"
 For example, cost growth declined between 2011 and 2012 and a number of 
 programs also improved their buying power by finding efficiencies in 
 development or production and requirements changes. ",0.9944089548445825,2,1
13,"Still, cost and schedule 
 growth remain significant; 39 percent of fiscal 2012 programs have had unit cost 
 growth of 25 percent or more. ",0.9347118572355786,2,1
14," 
 DOD’s acquisition policy provides a methodological framework for developers to 
 gather knowledge that confirms that their technologies are mature, their designs 
 stable, and their production processes are in control. ",0.7765742338976909,2,6
15,"The Weapon Systems 
 Acquisition Reform Act of 2009 and DOD’s recent “Better Buying Power” 
 initiatives introduced significant changes that, when fully implemented, should 
 further strengthen practices that can lead to successful acquisitions. ",1.119369075163824,2,6
16,"GAO has 
 also made numerous recommendations to improve the acquisition process, 
 based on its extensive work in the area. ",0.9608502826655659,2,6
17,"While recent reforms have benefited 
 individual programs, it is premature to say there is a trend or a corner has been 
 turned. ",0.6049509515793793,2,10
18,"The reforms still face implementation challenges and have not yet been 
 institutionalized within the services. ",1.0218137758189267,2,9
19," 
 Reforms that focus on the methodological procedures of the acquisition process 
 are only partial remedies because they do not address incentives to deviate from 
 sound practices. ",0.9762885321286546,2,8
20,"Weapons acquisition is a complicated enterprise, complete with 
 unintended incentives that encourage moving programs forward by delaying 
 testing and employing other problematic practices. ",0.8523028945701807,2,8
21,"These incentives stem from 
 several factors. ",0.483166920120013,2,2
22,"For example, the different participants in the acquisition process 
 impose conflicting demands on weapon programs so that their purpose 
 transcends just filling voids in military capability. ",0.6861763820658595,2,6
23,"Also, the budget process forces 
 funding decisions to be made well in advance of program decisions, which 
 encourages undue optimism about program risks and costs. ",1.132073136097211,2,5
24,"Finally, DOD 
 program managers’ short tenures and limitations in experience and training can 
 foster a short-term focus and put them at a disadvantage with their industry 
 counterparts. ",0.9802569565304787,2,8
25," 
 Drawing on its extensive body of work in weapon systems acquisition, GAO sees 
 several areas of focus regarding where to go from here:   
 •  
 at the start of new programs, using funding decisions to reinforce desirable 
 principles such as well-informed acquisition strategies;  
 •  
 identifying significant risks up front and resourcing them; 
 •  
 exploring ways to align budget decisions and program decisions more 
 closely; and 
 •  
 attracting, training, and retaining acquisition staff and managers so that they 
 are both empowered and accountable for program outcomes. ",1.309124519142227,2,6
26," 
 These areas are not intended to be all-encompassing, but rather, practical places 
 to start the hard work of realigning incentives with desired results. ",0.7643058458038132,2,7
27,"
 View  GAO-14-145T . ",0.36318876076511264,2,9
28,"For more information, 
 contact Paul Francis at (202) 512-4841 or 
 francisp@gao.gov . ",0.4404565910930223,2,3
29,"
  
   
  
  
  
 Page 1 
 GAO-14-145T   
 Chairman McKeon, Ranking Member Smith, and Members of the 
 Committee: 
 I am pleased to be here today to discuss weapon systems acquisition and 
 where reform should focus next. ",0.7466770165460322,2,9
30,"Weapon systems acquisition has been 
 on GAO’s high risk list since 1990. ",0.5551776365032555,3,6
31,"1
 Today, I will (1) provide summary cost and schedule information on 
 DOD’s portfolio of major weapon systems; (2) describe the policies and 
 processes in place to guide those acquisitions; (3) discuss incentives to 
 deviate from otherwise sound acquisition practices; and (4) suggest ways 
 to temper these incentives. ",1.1763208008892314,3,6
32,"This statement draws from our extensive body 
 of work on DOD’s acquisition of weapon systems and the numerous 
 recommendations we have made both on individual weapons and 
 systemic improvements to the acquisition process. ",0.8794604323396662,3,6
33,"The work on which 
 this testimony is based was conducted in accordance with generally 
 accepted government auditing standards. ",0.7329463794773631,3,2
34,"Those standards require that 
 we plan and perform the audit to obtain sufficient, appropriate evidence to 
 provide a reasonable basis for our findings and conclusions based on our 
 audit objectives. ",1.2836399223110506,3,5
35,"We believe the evidence obtained provides a reasonable 
 basis for our findings and conclusions based on our audit objectives. ",0.9145309622282523,3,2
36,"
  Over the past 50 years, Congress 
 and the Department of Defense (DOD) have explored ways to improve 
 acquisition outcomes, including recent actions like the Weapon Systems 
 Acquisition Reform Act and the department’s own “Better Buying Power” 
 initiatives. ",1.141541265980658,3,9
37,"These and other reforms have championed sound 
 management practices, such as realistic cost estimating, prototyping, and 
 systems engineering. ",0.9628998639365054,3,6
38,"DOD’s declining budgets and the impact of 
 sequestration have lent additional impetus to reduce the costs of 
 weapons. ",0.9462433503779343,3,1
39,"While some progress has been made on this front, too often we 
 report on the same kinds of problems today that we did over 20 years 
 ago. ",0.5799315295021832,3,10
40,"The cost growth of DOD’s 2012 portfolio of weapon systems about 
 $411 billion and schedule delays average more than 2 years. ",0.8909800708964176,3,1
41,"To get 
 better results the focus should not be on adding to or discarding 
 acquisition policies, but on the incentives that work against them. ",0.9282686677219629,3,8
42,"
  
                                                                                                                      
 1 GAO,  High Risk Series: An Update ,  GAO-13-283  (Washington, D.C.: February 2013). ",0.6852275041904271,3,9
43," 
   
  
   
  
  
  
 Page 2 
 GAO-14-145T   
 There can be little doubt that we can—and must—get better outcomes 
 from our weapon system investments. ",0.6252804090098383,3,4
44,"As seen in table 1, the value of 
 these investments in recent years has been on the order of $1.5 trillion or 
 more, making them a significant part of the federal discretionary budget. ",0.8945993149744167,4,1
45,"
 Table 1: Analysis of DOD Major Defense Acquisition Program Portfolios 
 Fiscal year 2014 dollars 
  
 Fiscal year 
  
 2008 
 2011 
 2012 
 Portfolio size 
  
  
  
 Number of programs 
 95 
 95 
 85 
 Total planned commitments 
 $1.6 trillion 
 $1.7 trillion 
 $1.5 trillion 
 Commitments outstanding 
 $898 billion 
 $813 billion 
 $744 billion 
 Portfolio indicators 
  
  
  
 Change in development costs from first 
 full estimate 
 42 percent 
 54 percent 
 49 percent 
 Change in total acquisition cost from first 
 full estimate 
 25 percent 
 40 percent 
 38 percent 
 Estimated total acquisition cost growth 
 $323 billion 
 $465 billion 
 $411 billion 
 Share of programs with 25 percent or 
 greater increase in program acquisition 
 unit cost since first full estimate 
 42 percent 
 41 percent 
 39 percent 
 Average delay in initial operating 
 capability 
 22 months 
 23 months 
 27 months 
 Source: GAO analysis of DOD data. ",1.3555627993319699,4,1
46,"
 Note: The Ballistic Missile Defense System is excluded from the analysis of both portfolio size and 
 portfolio indicators as it does not have comparable cost and schedule data. ",0.9519984152881162,4,1
47,"Other programs were also 
 excluded from the analysis of indicators when comparable data did not exist. ",0.718265729773408,4,5
48,"
  
 Large programs have an outsized impact on the aggregate portfolio. ",0.43171136746344274,4,1
49,"For 
 example, Joint Strike Fighter costs have now consumed nearly a quarter 
 of the entire portfolio. ",0.5986747121350915,4,10
50,"Yet, as indicated in table 1, 39 percent of programs 
 have had unit cost growth of 25 percent or more. ",0.7754891209010246,4,1
51,"Recently, we have seen 
 some modest improvements. ",0.5935857069626235,4,10
52,"For example, cost growth has declined 
 between 2011 and 2012. ",0.7215300495726502,4,1
53,"2
                                                                                                                      
 2 GAO,  Defense Acquisitions: Assessments of Selected Weapon Programs , 
  We have also observed that a number of 
 programs have improved their buying power by finding efficiencies in 
 GAO-13-294SP  (Washington, D.C.: Mar. 28, 2013). ",0.7992292431821786,4,9
54,"
 Trends in DOD’s 
 Portfolio of Major 
 Acquisitions 
  
   
  
  
  
 Page 3 
 GAO-14-145T   
 development or production, and requirements changes. ",0.7547062560643544,4,6
55,"On the other 
 hand, cost and schedule growth remain significant when measured 
 against programs’ first full estimates. ",1.11557232800688,5,1
56,"The performance of some very large 
 programs are no longer reflected in the latest data as they are no longer 
 acquisition programs. ",0.7244098339590526,5,6
57,"For example, the Future Combat Systems program 
 was canceled in 2009 after an investment of about $18 billion and the F-
 22 Raptor program has completed aircraft procurement. ",0.680079679057596,5,1
58,"In addition, the 
 Ballistic Missile Defense System are not included in any of the analysis as 
 those investments have proceeded without a baseline of original 
 estimates, so the many difficulties experienced in the roughly $130 billion 
 program are not quantifiable. ",0.9640318715881844,5,1
59,"
 The enormity of the investment in acquisitions of weapon systems and its 
 role in making U.S. fighting forces capable, warrant continued attention 
 and reform. ",0.8961753753985738,5,12
60,"The potential for savings and for better serving the warfighter 
 argue against complacency. ",0.6120632565383298,5,4
61,"
  
 When one thinks of the weapon systems acquisition process, the image 
 that comes to mind is that of the methodological procedure depicted on 
 paper and in flow charts. ",0.46823837444844263,5,2
62,"DOD’s acquisition policy takes the perspective 
 that the goal of acquisition is to obtain quality products that satisfy user 
 needs at a fair and reasonable price. ",1.1222485080398492,5,7
63,"3  The sequence of events that 
 comprise the process defined in policy reflects principles from disciplines 
 such as systems engineering, as well as lessons learned, and past 
 reforms. ",0.8305332629680408,5,8
64,"The body of work we have done on benchmarking best practices 
 has also been reflected in acquisition policy. ",0.6020265273474884,5,8
65,"4
                                                                                                                      
 3 Department of Defense Directive 5000.01,  The Defense Acquisition System  (Nov. 20, 
 2007). ",0.6464731445044964,5,9
66,"
  Recent, significant changes 
 to the policy include those introduced by the Weapon Systems Acquisition 
 Reform Act of 2009 and the department’s own “Better Buying Power” 
 initiatives which, when fully implemented, should further strengthen 
 4 GAO,  Best Practices: DOD Can Achieve Better Outcomes by Standardizing the Way 
 Manufacturing Risks Are Managed ,  GAO-10-439  (Washington, D.C: Apr. 22, 2010);  Best 
 Practices: Capturing Design and Manufacturing Knowledge Early Improves Acquisition 
 Outcomes ,  GAO-02-701  (Washington, D.C.: July 15, 2002);  Best Practices: Better 
 Matching of Needs and Resources Will Lead to Better Weapon System Outcomes ,  GAO- 
 01-288  (Washington, D.C.: Mar. 8, 2001); and  Best Practices: Better Management of 
 Technology Development Can Improve Weapon System Outcomes ,  GAO/NSIAD-99-162 
 (Washington, D.C.: July 30, 1999). ",1.465823556583644,5,6
67,"
 One Side of the 
 Acquisition Process: 
 Stated Policy 
  
   
  
  
  
 Page 4 
 GAO-14-145T   
 practices that can lead to successful acquisitions. ",0.794808075341849,5,6
68,"5  The policy provides a 
 framework for developers of new weapons to gather knowledge that 
 confirms that their technologies are mature, their designs are stable, and 
 their production processes are in control. ",0.7714448867559529,6,7
69,"6
 Table 2 summarizes these steps and best practices, organized around 
 three key knowledge points in a weapon system acquisition. ",0.8081539229465122,6,6
70,"
  These steps are intended to 
 ensure that a program will deliver the capabilities required utilizing the 
 resources—cost, schedule, technology, and personnel—available. ",1.2410473809668938,6,6
71,"
 Successful product developers ensure a high level of knowledge is 
 achieved at key junctures in development. ",0.7573779023871755,6,7
72,"We characterize these 
 junctures as knowledge points. ",0.34451664564555706,6,2
