Seq.,sentence,similarity_to_bench,page,cluster
0," This document and trademark(s) contained herein are protected by law as indicated in a notice appearing later in 
 this work. ",0.7560109818824854,1,4
1, This electronic representation of RAND intellectual property is provided for non-commercial use only. ,0.6646642194794804,1,4
2,"
 Unauthorized posting of RAND PDFs to a non-RAND Web site is prohibited. ",0.3874247640087533,1,4
3," RAND PDFs are protected under 
 copyright law. ",0.6270954153003534,1,4
4," Permission is required from RAND to reproduce, or reuse in another form, any of our research 
 documents for commercial use. ",0.7968555377026949,1,4
5,"For information on reprint and linking permissions, please see  RAND Permissions .",0.38566646513019187,1,4
6,"
 Limited Electronic Distribution Rights
 This PDF document was made available from  www.rand.org  as a public 
 service of the RAND Corporation.",0.7086328166545933,1,4
7,"
 6
 Jump down to document
 THE ARTS
 CHILD POLICY
 CIVIL JUSTICE
 EDUCATION
 ENERGY AND ENVIRONMENT
 HEALTH AND HEALTH CARE
 INTERNATIONAL AFFAIRS
 NATIONAL SECURITY
 POPULATION AND AGING
 PUBLIC SAFETY
 SCIENCE AND TECHNOLOGY
 SUBSTANCE ABUSE
 TERRORISM AND 
 HOMELAND SECURITY
 TRANSPORTATION AND
 INFRASTRUCTURE
 WORKFORCE AND WORKPLACE
 ",0.7375350702676141,1,10
8,"The RAND Corporation is a nonprofit institution that 
 helps improve policy and decisionmaking through 
 research and analysis.",0.8602397029298459,1,10
9,"
 Visit RAND at  www.rand.org
 Explore the  RAND National Defense Research Institute
 View  document details
 For More Information
 Purchase this document
 Browse Books & Publications
 Make a charitable contribution
 Support RAND
 This product is part of the RAND Corporation occasional paper series. ",0.8707972336179182,1,4
10,"RAND 
 occasional papers may include an informed perspective on a timely policy issue, a 
 discussion of new research methodologies, essays, a paper presented at a conference, a 
 conference summary, or a summary of work in progress. ",0.8832252408860646,2,2
11,"All RAND occasional papers 
 undergo rigorous peer review to ensure that they meet high standards for research 
 quality and objectivity.",0.837362204429126,2,0
12,"
 NATIONAL DEFENSE RESEARCH INSTITUTE
 OCCASIONAL PAPER 
 The Perfect Storm
  
 The Goldwater-Nichols Act and  
  
 Its Effect on Navy Acquisition
  
 Charles Nemfakos    •    Irv Blickstein    • ",0.764603877913128,2,10
13,"   Aine Seitz McCarthy    •    Jerry M. Sollinger
  
 Prepared for the United States Navy
  
 Approved for public release; distribution unlimited
 ",0.6301228940938184,3,10
14,"The RAND Corporation is a nonprofit institution that helps improve policy and 
 decisionmaking through research and analysis. ",0.8602397029298459,4,10
15,"RAND’s publications do not necessarily 
 reflect the opinions of its research clients and sponsors.",0.5175738664343673,4,4
16,"
 R ®  is a registered trademark.",0.21806728388929902,4,4
17,"
 © Copyright 2010 RAND Corporation
 Permission is given to duplicate this document for personal use only, as long as it 
 is unaltered and complete. ",0.7454704718830579,4,4
18,Copies may not be duplicated for commercial purposes. ,0.3874300141508485,4,4
19,"
 Unauthorized posting of RAND documents to a non-RAND website is prohibited. ",0.43153658915898324,4,4
20,"RAND 
 documents are protected under copyright law. ",0.6819240768919118,4,4
21,"For information on reprint and linking 
 permissions, please visit the RAND permissions page (http://www.rand.org/publications/ 
 permissions.html).",0.5101456163323589,4,4
22,"
 Published 2010 by the RAND Corporation
 1776 Main Street, P.O. Box 2138, Santa Monica, CA 90407-2138
 1200 South Hayes Street, Arlington, VA 22202-5050
 4570 Fifth Avenue, Suite 600, Pittsburgh, PA 15213-2665
 RAND URL: http://www.rand.org
 To order RAND documents or to obtain additional information, contact 
 Distribution Services: Telephone: (310) 451-7002; 
 Fax: (310) 451-6915; Email: order@rand.org
 Library of Congress Cataloging-in-Publication Data
 The perfect storm : the Goldwater-Nichols Act and its effect on Navy acquisition / Charles Nemfakos ... ",0.8363284968184339,4,4
23,[et al.].,0.1791673313959128,4,4
24,"
        p. cm.",0.14465339087560425,4,2
25,"
   Includes bibliographical references.",0.6264780180349899,4,4
26,"
   ISBN 978-0-8330-5018-2 (pbk. : alk. paper).",0.28332311712489777,4,4
27,"
 1.  United States. ",0.27339901415961,4,4
28,Goldwater-Nichols Department of Defense Reorganization Act of 1986. ,0.6434862907220166,4,10
29,2. ,0.0,4,-1
30, United States. ,0.27339901415961,4,4
31,"
 Navy—Procurement. 3. ",0.2614029900393208,4,1
32, United States. ,0.27339901415961,4,4
33,Dept. of Defense—Reorganization. ,0.2963723658711831,4,10
34,4. ,0.0,4,-1
35," United States—Armed Forces—
 Reorganization—History. ",0.37017941445318825,4,10
36,5. ,0.0,4,-1
37, Military law—United States—History. ,0.44067640190887375,4,10
38," I. Nemfakos, Charles.",0.2242720922866166,4,4
39,"
  
 KF7252.P47 2010
  
 343.73'0196212—dc22
 2010028209
 The research described in this report was prepared for the United States Navy. ",0.7247760647878602,4,10
40,"The research 
 was conducted in the RAND National Defense Research Institute, a federally funded 
 research and development center sponsored by the Office of the Secretary of Defense, the 
 Joint Staff, the Unified Combatant Commands, the Navy, the Marine Corps, the defense 
 agencies, and the defense Intelligence Community under Contract W74V8H-06-C-0002. ",1.027421982581901,4,3
41,"
 iii
 Preface
 In 1986, beginning with the Goldwater-Nichols Department of Defense Reorganization Act, 
 the U.S. military establishment underwent the most sweeping set of defense reforms to be 
 enacted in almost 40 years. ",0.9734488123571738,4,10
42,"Related reforms followed shortly thereafter and included those 
 contained in the National Defense Authorization Act of 1987, which reflected many of the 
 recommendations of the Packard Commission. ",1.184432363239025,5,10
43,"1  In the more than two decades since that time 
 of change, the military establishment has taken numerous steps to implement the legislation’s 
 reforms and other reforms contained in commission recommendations and further legisla-
 tion. ",1.151164779723835,5,9
