Seq.,sentence,similarity_to_bench,page,cluster
0," A Publication of the Defense Acquisition University 
 http://www.dau.mil
 99
 ARJ, January 2012, Vol. 19 ",0.3541433218257491,1,0
1,"No. 1 : 099 — 120
 image designed by Diane Fleischer  »
 Keywords:  Acquisition Reform, Culture, Leadership, 
 Change, Government Acquisition Process
 The More Things Change, 
 Acquisition Reform 
 Remains the Same
 Col Peter K. Eide, USAF,  
 and COL Charles D. Allen, USA (Ret.)",0.7653001534754802,1,3
2,"
 For over 60 years, the Department of Defense has 
 attempted to fix its weapon systems procurement without 
 success. ",0.6915016991024747,1,1
3,"While notable exceptions emerged during 
 the Global War on Terrorism (i.e., rapid development/
 fielding of Mine Resistant Ambush Protected vehicles and 
 improvised explosive Device defeat systems), “Acqui-
 sition Reform” efforts have not consistently yielded a 
 process/system that delivers products faster, better, or 
 cheaper. ",0.818926289415982,1,1
4,"in 2009, President obama took the initiative 
 to give reforms another try. ",0.6577162198882344,1,4
5,"Through an analysis that 
 applies John P. Kotter’s model of organizational change 
 and edgar H. schein’s approach to organizational culture 
 and leadership, the conclusion suggests that current 
 initiatives will not be successful. ",1.0891786915690553,1,6
6,"Behavioral change is 
 needed to embed transformation. ",0.7161632541805854,1,6
7,"Acquisition reforms 
 can be coerced, but will not endure as true transforma-
 tion unless cultural change occurs.",0.7134612264499872,1,5
8,"
 Acquisition
 Reform
 A Publication of the Defense Acquisition University 
 http://www.dau.mil
 101
 ARJ, January 2012, Vol. 19 ",0.4341160825073684,1,0
9,"No. 1 : 099 — 120
 In March of 2009, shortly after Barack Obama was sworn in as 
 President, the Government Accountability Office (GAO) released its 
 annual report “Defense Acquisitions: Assessments of Selected Weap-
 ons Programs” (GAO, 2009). ",0.7675563660802381,3,4
10,"Cumulative cost growth among assessed 
 Department of Defense (DoD) programs had reached $296 billion. ",0.8643002855766148,3,1
11,"That 
 latest revelation of inefficiency provided a rallying point for senior lead-
 ers in the White House, Congress, and DoD.
 The GAO report was released as significant forces for change were 
 beginning to move in the same direction. ",0.8517436145233571,3,4
12,"President Obama declared his 
 commitment to reduce the federal deficit by half in 4 years as Congress 
 made final changes on legislation aimed at acquisition reform (Phillips, 
 2009). ",0.854960575597621,3,4
13,"Concurrently, Secretary of Defense Robert Gates espoused his 
 own imperatives for acquisition reform (Gates, 2009), and hired a simi-
 larly motivated Under Secretary of Defense for Acquisition, Technology 
 & Logistics (USD[AT&L]), Dr. Ashton Carter (Hearing, 2009). ",0.5963686266024377,3,4
14,"Together, 
 these leaders emerged as a powerful coalition of change agents to fix the 
 government’s acquisition process.",0.7998732309275544,3,5
15,"
 But, will it all work? ",0.4768802040790748,3,5
16,"In  Leading Change , John P. Kotter (1996) pos-
 ited primary reasons why transformations fail. ",0.5728465157540119,3,5
17,"Closely related, Schein’s 
 (1992) seminal work on organizational culture emphasized the need for 
 behavioral change to drive transformation. ",0.8392630192733525,3,6
18,"Both approaches are pre-
 sented as a framework for assessing the likelihood of success for current 
 acquisition reform. ",0.7070902970555886,3,6
19,"The prognosis for effective reform is dim without 
 embedding leadership actions and institutional processes that will drive 
 change in the culture of defense acquisition. ",1.0101990862848602,3,6
20,"Without such intentionality, 
 one can expect to repeat the history of unfulfilled mandates for reform.",0.7155230327783408,3,3
21,"
 ",0.0,3,-1
22,"A Brief History of Acquisition Reform
 The need to fix, or reform, the DoD’s various acquisition processes 
 is almost universally acknowledged. ",0.8683877560373543,3,3
23,"Numerous studies have informed 
 U.S. strategic leaders on its shortcomings since 1949 (Assessment Panel, 
 2006). ",0.9224691687774269,3,1
24,"The following summary of acquisition reform initiatives since 
 the 1980s provides context for an analysis of initiatives undertaken 
 since 2009.",0.905406012697851,3,1
25,"
 The More Things Change, Acquisition Reform Remains the Same
 102
 ARJ, January 2012, Vol. 19 ",0.6179198284476065,3,3
26,"No. 1 : 099 — 120
 The Scandalous 1980s
 ",0.0,4,-1
27,"The first half of the decade of the eighties, marked by “fraud, waste, 
 and abuse” scandals in the procurement system, led to calls for reform 
 (Parlier, 1989). ",0.547370491716746,4,3
28,"In response, President Reagan created a Blue Ribbon 
 Commission on Defense Management, also known as the Packard 
 Commission, which produced what came to be known as the “Packard 
 Report.” ",0.6010322346412216,4,4
29,"Congress also worked its own legislative reforms to include the 
 Goldwater-Nichols Department of Defense Reorganization Act of 1986. ",0.9215953692546818,4,4
30,"
 The Blue Ribbon Commission final report stated flatly, “Excellence in 
 defense management will not and cannot emerge by legislation or direc-
 tive” (President’s Blue Ribbon Commission, 1986, p. xii). ",0.6298408272512843,4,4
31,"The commission 
 believed that acquisition employees at all levels must be encouraged and 
 empowered to succeed, and that Congress, DoD, and industry must all set 
 aside parochialism and “restore a sense of shared purpose and mutual 
 confidence” (p. xii). ",0.7659056309311095,4,1
32,"The Packard Report recommended specific ways 
 in which Congress and DoD could improve program stability to mirror 
 successful industry practices. ",1.0151381763693637,4,6
33,"Some of the specific commission recom-
 mendations became codified into law.",0.7663399655058458,4,4
34,"
 ",0.0,4,-1
