Seq.,sentence,similarity_to_bench,page,cluster
0," Pathway to 
 transformation
 PROMOTING NATIONAL SECURITY SINCE 1919
 National Defense Industrial Association  |  2111 Wilson Blvd. ",0.5098153412129506,1,9
1,"Suite 400  |  Arlington, VA 22201  |  www.ndia.org
 ndia acquisition 
 reform recommendations
 w w w. n d i a . ",0.8284165865318304,1,9
2,o r g  /     n d i a  a c q ,0.0,2,-1
3,u ,0.0,2,-1
4,"i s i t i o n  r e f o r m  r e c o m m e n d at i o n s      1    
 w w w. n d i a . ",0.0,2,-1
5,o r g  /     n d i a  a c q ,0.0,2,-1
6,u ,0.0,2,-1
7,"i s i t i o n  r e f o r m  r e c o m m e n d at i o n s      1    
 Letter ...........................................................................................................................................................................2
 Introduction ................................................................................................................................................................4
 I. Authority and Accountability  .....................................................................................................................8
                 1) ",0.31550142765045164,2,9
8,"Defense Streamlined Programs Pilot Authority ..................................................................................8
                 2) Improved Acquisition Leadership by the Military Service Chiefs ..................................................10
                 3) ",0.8811479946202423,2,4
9,"Innovation through the Commercial Marketplace ...........................................................................17
                 4) Government-Industry Dialog .............................................................................................................23
 II. ",0.4502370916086795,2,6
10,"Matching Requirements to Resources  .................................................................................................31
                 1) Statutory Sunsets and Review ............................................................................................................31
                 2) Improve the Management of the Civilian Acquisition Workforce ..................................................35
                 3) Improve the Management of the Military Acquisition Workforce .................................................47
                 4) ",0.8544389863302415,2,8
11,"Reducing Inefficient Audit Practices ..................................................................................................53
                 5) Raise the Simplified Acquisition Threshold ......................................................................................54
 III. ",0.6567878373649423,2,6
12,"Evidence Based Decision Making  ........................................................................................................56
                 1) Have GAO Study Complex Systemic Acquisition Problems ...........................................................56
                 2) Improve Acquisition Data Reporting By Leveraging Automated Data  
                     Collection and Analysis (“Big Data”) ",1.0455412624507983,2,7
13,"Tools .......................................................................................60
                 3) Technology Domain Awareness ..........................................................................................................62
 Appendix 1 ................................................................................................................................................................65
 Appendix 2 ................................................................................................................................................................72
 Pathway to transformation
 ndia acquisition reform recommendations
 I.  authority and accountability
 November 14, 2014  
 Dear Chairmen, Ranking Members, and Vice Chairman of the Committees on Armed Services:
 On behalf of the National Defense Industrial Association (NDIA), a non-partisan, non-profit association of nearly 
 1,600 corporate members and 90,000 individual members, we thank the House and Senate Committees on Armed 
 Services for requesting our views on how to improve the Defense Acquisition System. ",0.979238360709336,2,1
14,"In particular, we thank you 
 for your patience as NDIA undertook a thorough, expert-led, and member-driven process to produce the detailed 
 recommendations included in this final report. ",0.858010685983248,3,7
15,"
 In our letter to you on July 10 (at Appendix 1), we conveyed the three themes that characterize our final recom-
 mendations: providing authority to decision makers and holding them accountable for their decisions, matching 
 the resources invested in the Defense Acquisition System to the requirements placed upon it, and vice versa, and 
 making decisions about how to design the Defense Acquisition System based on data and evidence. ",0.9822057858913525,3,7
16,"Those themes 
 have not changed since our interim response to you.",0.6063689544345855,3,9
17,"
 What did change, to a certain extent, was our approach to developing recommendations. ",1.0697638582010238,3,7
18,"As we undertook the ap-
 proach described in our July 10 letter, we learned lessons and used those lessons to adapt our process in appropri-
 ate and helpful ways. ",0.5763068658893464,3,7
19,"As we described to you, our process was anchored in the analyses and conclusions of prior 
 2       n d i a  a c q u ",0.9851357092678438,3,7
20,i s i t i o n  r e f o r m  r e c o m m e n d at i o n s   /  w w w. n d i a . ,0.0,3,-1
21,"o r g
 w w w. n d i a . ",0.0,3,-1
22,o r g  /     n d i a  a c q ,0.0,3,-1
23,u ,0.0,3,-1
24,"i s i t i o n  r e f o r m  r e c o m m e n d at i o n s      3    
 The Honorable Carl Levin ",0.264971886169069,3,9
25,"
  
  
 The Honorable Howard P. “Buck” McKeon
 Chairman  
  
  
  
 Chairman
 Senate Committee on Armed Services  
 House Committee on Armed Services
 228 Russell Senate Office Building 
  
 2120 Rayburn House Office Building  
 Washington, DC 20510-6050  
  
 Washington, DC 20515-6035
 The Honorable James M. Inhofe 
  
 ",0.6097562558909054,3,9
26,"The Honorable Adam Smith
 Ranking Member  
  
  
 Ranking Member
 Senate Committee on Armed Services  
 House Committee on Armed Services
 228 Russell Senate Office Building 
  
 2120 Rayburn House Office Building  
 Washington, DC 20510-6050  
  
 Washington, DC 20515-6035
 The Honorable Mac Thornberry
 Vice Chairman
 House Committee on Armed Services
 2120 Rayburn House Office Building  
 Washington, DC 20515-6035
 I.  authority and accountability
 studies, which were immensely helpful. ",0.692507232392647,3,9
27,"Those studies refl ect 12 consistent problem areas 1  in defense acquisition, 
 and the vast majority of those problem areas are addressed in some way by our recommendations. ",0.8348438050550321,4,7
28,"The small 
 handful that are not addressed were left aside either because they were not of interest to our members, the scope 
 of the problem was so broad as to resist clear, specifi c, and actionable recommendations for change, the problem 
 results from what we call “boundary conditions,” that is, from factors outside of our acquisition system uniquely 
 resistant to change, or the problem simply fell prey to the limited resources of time and manpower available to 
 us. ",1.0800797167386915,4,7
29,"Regardless, it is our plan to continue providing ideas, research, and analysis to your Committees in these ar-
 eas, and we do not consider this report our last word on acquisition improvements.",1.1507077979419358,4,4
30,"
 ",0.0,4,-1
31,"In addition to our review of prior studies, our July 10 letter described a process for engaging our membership 
 through working groups and large group meetings. ",0.8205132220322191,4,7
32,"This process was indeed an outstanding vehicle for creating 
 and refi ning a set of possible recommendations. ",0.926518199312313,4,7
33,"After our working groups completed their initial products and 
 presented them to a second large group meeting, we concluded that it would be most productive to take these 
 member-generated approaches and expose them to the thinking of the experts in the Pentagon responsible for 
 each respective area. ",0.8333071047035381,4,7
34,We also wanted to expose them to the congressional staff supporting your work. ,0.7027320245138722,4,11
35,"These in-
 terviews helped immensely and allowed us to refi ne our proposals based on what acquisition leaders already had 
 underway. ",0.550063680752347,4,7
36,"Furthermore, Pentagon acquisition leaders and your staff proposed suggestions with merit in their own 
 right, which we subsequently folded into this report.",0.7249018983008884,4,8
37,"
 Our foremost conclusion is as simple as it is obvious: we will not reform defense acquisition once and for all nor 
 solve its every problem. ",0.8033118890230271,4,11
38,"The Defense Acquisition System is a complicated framework of related systems, and it 
 should be subject every few years to a review for a block upgrade. ",0.6779543171044732,4,4
39,"The process will never be perfect, but it can 
 produce signifi cantly b etter outcomes in a more affordable manner if we trace problems back to the underlying 
 features that cause them. ",0.7525282060343016,4,7
40,We look forward to supporting your Committees to that end.,0.4241852349962395,4,11
41,"
 ",0.0,4,-1
42,"Sincerely,
  
   
 ",0.14400489438673414,4,9
43,"Jonathan Etherton 
  
  
  
  
 Arnold L. Punaro
  
  
 Senior Fellow  
  
  
  
 Maj. ",0.3917892458036665,4,9
44,"General, USMC (Ret.)",0.23877743920450603,4,9
45,"
  
  
  
  
  
  
                            Chairman of the Board  
 CC:
 The Honorable Frank Kendall, Under Secretary of Defense (AT&L)
 ",0.3747187703760994,4,9
46,"The Honorable Katrina McFarland, Assistant Secretary of Defense (Acquisition)
 ",0.31953054830874283,4,9
47,"The Honorable Bill LaPlante, Assistant Secretary of the Air Force (Acquisition)
 ",0.3889794070728758,4,9
48,"The Honorable Heidi Shyu, Assistant Secretary of the Army (ALT)
 The Honorable Sean Stackley, Assistant Secretary of the Navy (RDA)
 1  Listed on page 5 of our July 10 letter.",0.49037171957111786,4,9
49,"
 w w w. ",0.0,4,-1
50,n d i a . ,0.0,4,-1
51,o r g  /     n d i a  a c q ,0.0,4,-1
52,u ,0.0,4,-1
53,"i s i t i o n  r e f o r m  r e c o m m e n d at i o n s      3
 4       n d i a  a c q ",0.0,4,-1
54,u i s i t i o n  r e f o r m  r e c o m m e n d at i o n s   /  w w w. n d i a . ,0.0,5,-1
55,o r ,0.0,5,-1
56,"g
 introduction
 w w w. ",0.25160194650930867,5,9
57,n d i a . ,0.0,5,-1
58,o r g  /     n d i a  a c q ,0.0,5,-1
59,u ,0.0,5,-1
60,"i s i t i o n  r e f o r m  r e c o m m e n d at i o n s      5    
 introduction
 Why Has the Defense Acquisition System Proved So 
 Difficult to Fix?
 ",0.5864318087716944,5,11
61,"This question has become a theme in congressional, 
 military, acquisition, and industry circles. ",0.4031585006291572,5,8
