Seq.,sentence,similarity_to_bench,page,cluster
0,"  
  
  
  
  
  
  
 THE PSC ACQUISITION AND 
 TECHNOLOGY POLICY AGENDA
 Transforming for a Future of  
 Improved Performance  
 and Results  
  
  
 July 28, 2014 
  
  
  
  
  
 1  
  
 THE PSC ACQUISITION AND TECHNOLOGY POLICY AGENDA  
 Transforming for a Future of Improved Performance and Results 
  
 I.  
 Introduction  
 The U.S.",0.9176295635121693,1,11
1," government annually spends approximately $500 billion—almost half of its discretionary 
 budget—on the acquisition of goods and services, with services making up over 55 percent of all of 
 those acquisitions.",0.7690657681197094,2,2
2," However, to date, much of the attention to improving the processes through which 
 those goods and services are procured has centered on the acquisition of major weapons",0.7538365940856958,2,4
3," systems (and 
 services in support of these systems) and less on the increasingly complex and dominant role of services 
 and technology in meeting the government’s missions.",0.581829368464739,2,10
4," Even today, efforts continue within the 
 Department of Defense to apply its extensive processes for weapons systems acquisition to the 
 acquisition of services and information technology.",0.7603090754534284,2,7
5,"  
 But it is important to recognize that the acquisition of professional services and technology is vastly 
 different from the acquisition of major weapons",0.5434265916205726,2,10
6, systems or products.,0.4272368721917519,2,1
7," So too are the dynamics of the 
 marketplace.",0.20789614833303624,2,0
8," Specifically and most importantly, the acquisition of major systems takes place largely in 
 an environment where the government is effectively the only customer and the number of potential 
 providers is limited.",0.8208192085894649,2,12
9," Conversely, the professional and technology services sectors are broad and diverse 
 and include companies with widely varying degrees of engagement in the public sector.",0.6231541733093774,2,10
10," As such, in order 
 to ensure the optimal competition for ideas and solutions, any approach to the acquisition of these 
 services MUST adapt to this blended",0.7567626991519256,2,7
11," market and must lean heavily toward best commercial, as opposed 
 to government‐unique, practices and dynamics.",0.54391880071876,2,1
12," 
 In addition, it is clear that the current process for the government’s acquisition of professional and 
 technology services is too slow, and even calcified, and fails to incentivize innovation and creativity that 
 is available to help the government improve its mission outcomes.",0.9511194147715567,2,7
13," In large part, these challenges are 
 driven by a system that is designed to prevent failure rather than encourage innovation.",0.6891117838174267,2,10
14," It is a zero‐
 defect mentality that, in any environment, presents enormous barriers to effective, efficient, and 
 contemporary solutions.",0.48456353159416854,2,10
15," The federal workforce, which is among the most dedicated workforces in the 
 world, is given neither the tools nor the support to exercise critical thinking and judgment and instead is 
 rewarded for what are often the wrong strategic choices but that are nonetheless the “safest.”",0.7467198232771091,2,10
16," 
 While the acquisition of information technology brings with it certain unique characteristics, focusing on 
 IT acquisition alone is not sufficient.",0.6921419869041275,2,7
17," In the vast majority of acquisitions, technology is either the core 
 element of what is being procured or is a core enabler of the service",0.4334652849937688,2,4
18, being procured.,0.26957677966259636,2,8
19," Indeed, the 
 convergence of services and technology, illustrated in part by the move to cloud‐based services, is 
 changing the face and character of the marketplace as a whole.",0.5774022690404058,2,10
20," The impacts of that convergence will be 
 felt not only in the acquisition of information",0.38374626882288,2,4
21," technology capabilities, but the acquisition of most other 
 services that rely on technology for execution.",0.6936955068037193,2,7
22," Whether it is access to new applications or entirely new 
 technologies, the professional services sector is being affected as acutely as the technology sector itself.",0.520179707604351,2,1
23," 
 In other words, the traditional lines separating professional services from information technology have 
 been blurred almost to the point of extinction, and any effort to reform, or transform, acquisition must 
 be consistent with and reflective of these realities.",0.6696914741352489,2,7
24," 
 2  
  
 This agenda is the result of extensive internal discussions and analyses conducted by members of the 
 PSC Board of Directors to respond to specific information requests from the U.S. Congress and to inform 
 a range of other acquisition and technology policy initiatives.",0.9861697402853752,2,11
25," It includes recommendations that are 
 pertinent to all aspects of services acquisition as well as recommendations that are more directly 
 relevant to one or more individual market segment(s).",0.9034769925580386,3,3
26," Taken together, they represent an important part 
 of a much broader PSC acquisition and",0.5620476987160623,3,4
27, technology,0.3409160096531375,3,10
28, policy action agenda.,0.7332531729435695,3,8
29,"  
  
 In the main, the report is premised on several factors: 
  
   
 Today’s services “market” is not one market; it is an amalgam of diverse functional 
 capabilities.",0.6548834851331022,3,7
30," The diversity of these capabilities requires an acquisition system characterized 
 by flexibility and risk‐based critical thinking to ensure that the acquisition strategies chosen 
 are appropriate to the desired outcome, rather than founded on an overly simplistic set of 
 assumptions and processes.",1.0022733427916575,3,12
31," 
  
   
 The current market is cyclical, in that new capabilities advance to a “commodity” phase 
 more rapidly than ever but then often goes through multiple additional cycles of 
 development and modernization.",0.783068232616188,3,4
32," 
 o   The use of “lowest price technically acceptable”",0.8003535216365261,3,9
33," acquisition strategies, or “best 
 value” acquisitions that ultimately default to a price shootout, inhibit continued 
 improvement and innovation and should be avoided for all but the most basic, static 
 commoditized services.",1.0719805764169439,3,12
34," One of the greatest dangers to the government’s effective 
 utilization of critical services is a tendency by the federal customers to 
 “commoditize”",0.6314361754135129,3,12
35," capabilities that are not, in practice or fact, commodities.",0.5549727779031436,3,1
36," 
 o   The use of a risk‐focused taxonomy, as defined in the  2013 PSC Leadership 
 Commission Report  (and reiterated in this report) must be core to the development 
 of any acquisition",1.0140802173927634,3,11
37, strategy or model.,0.5520385633264692,3,10
38," 
 o   The use of statements of objectives (SOOs), vice traditional statements of work 
 (SOWs)",0.6651123994421724,3,1
39,", is critical.",0.8579172004440949,3,10
40," Only through the use of SOOs, which focus on performance and 
 outcome, can providers continually innovate, insert new technology where 
 appropriate, and deliver optimal outcomes.",1.08950890370479,3,12
41," 
  
   
 The time is right for major change, not just incremental reform.",0.8336621582241734,3,10
42," 
 o   The current combination of workforce challenges and changes, budget sensitivity, 
 and the complexity of missions demands modern business and workforce models, 
 not simply the “reform” of antiquated models.",0.9975692732440558,3,10
43,"  In addition, the digital age requires 
 different expertise, approaches and solutions.",0.6455383388956435,3,1
44," 
  
   
 Smart acquisition will center largely on maximizing resources for investment in innovation 
 and continuous improvement vice sustainment of existing systems.",0.9339503650750592,3,10
45,"  
  
   
 The increasingly rapid evolution of technology and technology applications demands an 
 acquisition system with four key attributes: 
  
 3  
  
 o   Speed to outcome, both in terms of an acquisition process that reflects the market in 
 which services are being procured AND in terms of the ability of a solution or service to 
 deliver real results.",0.7843942371346085,3,12
46," 
 o   Agility, principally driven by a focus on modular development and implementation 
 (where appropriate) and a concomitant focus on the problems to be solved vice fulfilling 
 government‐specified “requirements” 
 o   Optimal transparency and competitiveness 
 o   A recognition that some degree of risk is inevitable; that a zero‐defect environment is 
 impossible to achieve and would be unaffordable 
 With these basic tenets in mind, our acquisition transformation agenda is divided into six categories: (1) 
 workforce, (2) pre‐solicitation, (3) solicitation/evaluation, (4) post‐award/performance, (5)",1.1453162296152173,4,12
47," ensuring a 
 competitive industrial base, and (6) general/cross‐cutting recommendations.",0.6862261461201289,4,11
48," While divided into distinct 
 categories tied intentionally to the acquisition lifecycle, few of these recommendations can or will by 
 themselves lead to meaningful improvement in a vacuum.",1.03968414028752,4,4
49," The entire ecosystem requires serious and 
 sustained leadership attention.",0.9815307524520266,4,10
50," Absent that focus, the performance and cost improvements the taxpayer 
 has a right to expect will continue to prove elusive.",1.1566350911086716,4,12
51," 
  
 II. ",0.2125503152262221,4,8
52," 
 Workforce 
 Problem:  The federal workforce is in the early stages of its most massive transition in decades.",0.714308878680803,4,10
53, ,0.0,4,-1
54,"This is 
 most pronounced in the technology workforce, where there are 10 professionals over 50 for every one 
 under 30.",0.4178442441949862,4,10
55, ,0.0,4,-1
56,"In the acquisition workforce, the transition has already begun and the new generation of 
 professionals are already being trained and oriented to traditional acquisition practices and rules—even 
 though the rapidly shifting market",0.8049460240578146,4,10
57," landscape requires very different strategies going forward for what 
 services to buy and how to buy them. ",0.6443945230422531,4,1
58,"  
  
 Recommendation:  Embark on a clear, steady and significant workforce transformation initiative in which 
 cross‐functional development, business acumen, technical skills and new and creative training and 
 education tools form the core.",0.9720296515687589,4,10
59, ,0.0,4,-1
60,"This initiative, at a minimum, should include the following: 
  
 1)  
 Amend the Office of Federal Procurement Policy Act to rename OFPP the “Office of Federal 
 Acquisition Management and Policy” (OFAMP) and give it explicit policy and workforce 
 authority over the full acquisition process rather than just contracting.",1.0367519546170325,4,11
61," 
  
 Rationale: As the primary federal agency guiding government acquisition, expanding OFPP’s 
 current authorities and role is an essential first step in better integrating the full acquisition 
 process and workforce.",1.058274126636152,4,7
62," Too often, particularly in the civilian agencies, “acquisition” is 
 equated with “contracting” when, in fact, contracting is but one critical element in the 
 acquisition process.",0.6737934811119971,4,7
63," And while OFPP has attempted to establish a set of program 
 management requirements, the office’s ability to enforce such standards",0.9655465924831149,4,3
64," absent clear 
 statutory authority remains in question.",0.47052496743851707,4,2
65," 
  
  
 2)  
 The Office of Personnel Management, in conjunction with the restructured OFAMP, should 
 create a clearly defined career path for program",0.777905638908315,4,4
66, management in the civilian agencies.,0.49782863702913543,4,11
67," 
 4  
  
  
 Rationale: The civilian agencies, unlike DoD, have no clear cut, aspirational career field for 
 program managers.",0.6613030976297136,4,11
68," OMB and surveys by others have documented over the years that, in 
 too many cases, “project managers” are equated to “program managers”",0.665045541299478,5,4
