Seq.,sentence,similarity_to_bench,page,cluster
0," Arroyo Center
 C onrad  P eter  S Chmidt
 Approved for public release; distribution unlimited
 R
 Prepared for the
 United States Army
 ChAnging 
 BUreAUCrAtiC 
 BehAvior  
 Acquisition Reform in the  
 United States Army
 The research described in this report was sponsored by the United 
 States Army, Contract No. ",0.9450534449145114,1,2
1,"DASW01-96-C-0004.
 RAND is a nonprofit institution that helps improve policy and 
 decisionmaking through research and analysis. ",0.8790786181266799,2,1
2," RAND ®  is a 
 registered trademark. ",0.2725075045039281,2,2
3,"   RAND’s publications do not necessarily 
 reflect the opinions or policies of its research sponsors.",0.5648666128486964,2,6
4,"
 © Copyright 2000 RAND
 All rights reserved. ",0.3735089243872783,2,2
5," No part of this book may be reproduced in any 
 form by any electronic or mechanical means (including 
 photocopying, recording, or information storage and retrieval) 
 without permission in writing from RAND.",0.6304084328244738,2,2
6,"
 Library of Congress Cataloging-in-Publication Data
 Schmidt, Conrad Peter.",0.4532900568643398,2,2
7,"
  
  
 Changing bureaucratic behavior  ;  acquisition reform in the  
  
 U.S. Army  /  Conrad Peter Schmidt.",0.595989707014141,2,2
8,"
  
  
  
 p.         cm.",0.14465339087560425,2,2
9,"
  
  
  “MR-1094-A.”
  
  
 Includes bibliographical references.",0.6012537204342115,2,2
10,"
  
  
 ISBN 0-8330-2756-5
  
  
 1.  United States. ",0.3293218910017354,2,2
11,  Army—Procurement. ,0.3447198084593504,2,2
12,   2. ,0.0,2,-1
13, United States. ,0.27339901415961,2,2
14,"  
 Army—Personnel management. ",0.5667361866367876,2,1
15,"   I.  Title.
  
 UC263.S32     2000
  
 355.6 ' 212 ' 0973—dc21 
 99-39065
 CIP
 Published 2000 by RAND
 1700 Main Street, P.O. Box 2138, Santa Monica, CA 90407-2138
 1333 H St., N.W., Washington, D.C. 20005-4707
 RAND URL:  http://www.rand.org/
 To order RAND documents or to obtain additional information, 
 contact Distribution Services:  Telephone:  (310) 451-7002;  
 Fax:  (310) 451-6915; Internet:  order@rand.org
 iii
 PREFACE
 In 1994, then Secretary of Defense William Perry directed the military
 services (Army, Navy, Air Force, and Marine Corps) to begin the pro-
 cess of reinventing their acquisition systems and policies. ",0.8705177451802496,2,2
16," One of the
 most important elements of the “Perry Initiatives” was the elimina-
 tion of all military specifications (milspecs) and standards from use
 in military acquisition. ",0.730820308422018,3,0
17," At the request of the Army, this study exam-
 ines three policy questions:
 •
 Is military specification and standard reform being implemented
 successfully by Army acquisition bureaucrats?
 •
 What factors or determinants affect the willingness and ability of
 Army acquisition employees to implement milspec and standard
 reform?
 •
 Having assessed implementation to date and understanding bet-
 ter what determines bureaucratic behavior, how can the Army
 best affect the underlying beliefs and perceptions of its personnel
 in order to influence behavior in support of milspec and stan-
 dard reform?
 To address these questions, this study applies a theoretical model of
 volitional behavior—called the theory of planned behavior (TPB)—to
 bureaucratic behavior in the Army. ",1.1659163440622087,3,8
18," Based on information developed
 through expert interviews, a survey of Army personnel, and the ap-
 plication of the TPB model, the study presents a series of compre-
 hensive recommendations on how to improve current implementa-
 tion efforts.",1.0189481088024521,3,1
19,"
 iv
 Changing Bureaucratic Behavior:   Acquisition Reform in the U.S. Army
 This report is based on a dissertation accepted by the RAND Gradu-
 ate School in partial fulfillment of the requirements for the degree of
 Doctor of Philosophy in Policy Analysis. ",0.8698423725216642,3,1
20," It will be of interest to Army
 personnel involved with acquisition reform and its support within
 the Army. ",0.849126869201283,4,1
21," A related report,  Facilitating Effective Reform in Army Ac-
 quisition  (DB-233-A), by James N. Dertouzos, Conrad Peter Schmidt,
 Beth A. Benjamin, and David Finegold, was published in 1998. ",0.7156233063131568,4,2
22," The
 research was sponsored by the Assistant Secretary of the Army
 (Acquisition, Logistics, and Technology) and the Army Materiel
 Command, and was conducted in the RAND Arroyo Center’s Force
 Development and Technology Program. ",0.8722144845851896,4,2
23," The Arroyo Center is a fed-
 erally funded research and development center sponsored by the
 United States Army.",0.68788169907919,4,2
24,"
 v
 CONTENTS
 Preface  .........................................
 iii
 Figures  .........................................
 ix
 Tables ..........................................
 xi
 Summary  .......................................
 xiii
 Acknowledgments .................................
 xix
 Chapter One
 INTRODUCTION  ..............................
 1
 Objectives of the Report  .........................
 2
 The Theoretical Model  ..........................
 3
 Data Collection and Methods  .....................
 3
 Outline of the Report ............................
 4
 Chapter Two
 THE POLICY ENVIRONMENT  .....................
 7
 Public-Sector Reform Efforts  ......................
 7
 Acquisition Reform in the Department of Defense  ......
 9
 Public- Versus Private-Sector Considerations ..........
 11
 Chapter Three
 THEORIES OF BUREAUCRATIC BEHAVIOR ...........
 13
 Theoretical Approach One:  Self-Interest  .............
 14
 Theoretical Approach Two:  Institutional Rules and
 Constraints  ...............................
 16
 A Combined Framework for Explaining Bureaucratic
 Behavior  .................................
 18
 vi
 Changing Bureaucratic Behavior:   Acquisition Reform in the U.S. Army
 Chapter Four
 EXPLAINING BUREAUCRATIC BEHAVIOR  ...........
 19
 Linking Theory to Reality .........................
 20
 Chapter Five
 DATA COLLECTION  ............................
 25
 Field Interview Process  ..........................
 25
 Field Interview Results  ..........................
 27
 The Army Acquisition Survey ......................
 30
 Chapter Six
 UNDERSTANDING REFORM BEHAVIOR .............
 33
 Assessing Support for Milspec and Standard Reform and
 Reform Behavior  ...........................
 33
 Predicting Reform Behavior .......................
 34
 Substantiating Theories of Bureaucratic Behavior  ......
 35
 Explaining Differences in Reform Intentions and
 Behavior  .................................
 37
 Chapter Seven
 UNDERSTANDING REFORM ATTITUDES
 WITHIN THE ACQUISITION WORK FORCE ...........
 41
 Measuring Bureaucratic Attitudes  ..................
 41
 Explaining Differences in Bureaucratic Reform Attitudes  .",1.1170965396891313,4,9
25,"
 43
 Chapter Eight
 UNDERSTANDING SUBJECTIVE NORMS
 WITHIN THE ACQUISITION WORK FORCE ...........
 51
 Measuring Subjective Norms of Bureaucrats  ..........
 51
 Explaining Differences in Subjective Norms Within the
 Acquisition Work Force  ......................
 52
 Chapter Nine
 UNDERSTANDING PERCEIVED BEHAVIORAL CONTROL
 WITHIN THE ACQUISITION WORK FORCE ...........
 57
 Measuring Perceived Behavioral Control of Bureaucrats ..
 57
 Examining Differences in Perceived Behavioral Control
 Within the Acquisition Work Force  ..............
 59
 Chapter Ten
 ASSESSING THE ROLE OF TRAINING  ...............
 63
 Reform-Related Training .........................
 64
 Participation in Reform-Related Training .............
 67
 Contents
 vii
 Usefulness of Training in Changing Reform Behavior  ....
 68
 Chapter Eleven
 IMPROVING IMPLEMENTATION
 OF MILSPEC AND STANDARD REFORM  .............
 73
 The State of Implementation  ......................
 74
 The Importance of Behavioral Determinants  ..........
 74
 Recommendations for Changing Reform Behavior  ......
 76
 Summary Recommendation:  Use an Improved Road
 Show Training Program  ......................
 87
 Appendix:  ANALYTIC METHODS  .....................
 91
 Bibliography  .....................................
 113
 ix
 FIGURES
 4.1.",1.4112847685196221,6,0
26,"
 ",0.0,8,-1
27,"The Theory of Planned Behavior  ................
 20
 A.1.",0.19116401158472213,8,9
28,"
 Structural Model of Planned Behavior  ............
 93
 A.2.",0.377882167067251,8,5
29,"
 SEM/LVM Structural and Measurement Model  .....
 93
 A.3.",0.6425617486249728,8,5
30,"
 Predicting Reform Intention and Reform Behavior
 and Standardized Coefficients in Theory of Planned
 Behavior ..................................
 101
 xi
 TABLES
 5.1 .",0.3515754824118294,8,6
31,"
 Relevant Outcomes  ..........................
 28
 5.2 .
 Referent Groups Important for Determining
 Subjective Norm  ............................
 29
 5.3 .",0.6185582679361743,9,8
32,"
 Salient Controls  ............................
 30
 7.1 .
 ",0.6116877353003819,9,6
33,"Differences in Belief-Based Measures of Attitude
 Across Career Group, Experience Level, and
 Organization ...............................
 45
 8.1 .",0.6935152631520829,9,8
34,"
 Differing Belief-Based Measures of Subjective Norms
 Across Career Group and Organization  ...........
 54
 10.1 .",0.6626382011269023,9,7
35,"
 Participation in Various Training Programs by Career
 Group ....................................
 67
 A.1 .
 ",0.4836875881882293,9,7
36,"Indicator Variables Used in Measurement Model  ....
 97
 A.2 .",0.842005385584492,9,5
37,"
 Correlation Matrix  ..........................
 98
 A.3 .",0.28013416044086653,9,4
38,"
 Covariance Matrix ...........................
 99
 A.4 .
 ",0.2399944513342001,9,4
